Country,NCDDeath2000,NCDDeath2012,Obese2014,Obese2010,Cardio2000,Cardio2012,HealthWorkers2000,HealthWorkers2001,HealthWorkers2002,HealthWorkers2003,HealthWorkers2004,HealthWorkers2005,HealthWorkers2006,HealthWorkers2007,HealthWorkers2008,HealthWorkers2009,HealthWorkers2010,HealthWorkers2011,HealthWorkers2012,HealthWorkers2013
Equatorial Guinea,818.3,729,17.5,15,449.3,357.6,0,0,0,0,1937,0,0,0,0,0,0,0,0,0
Eritrea,808.6,671.9,4.1,3.5,426.3,327.3,0,0,0,0,3235,0,0,0,0,0,0,0,0,0
Estonia,719.6,510.7,22.6,21.2,446.4,272.1,26486,0,0,0,0,0,0,0,0,0,26149,0,14931,0
Ethiopia,579.1,476.3,4,3.3,180.4,161.6,0,0,0,48972,45817,34660,32543,44219,54945,66314,0,0,0,0
Fiji,889,804,36.4,35,483.3,372.3,0,0,0,2190,0,0,0,0,2121,2999,0,0,0,0
Finland,440.2,366.6,20.6,19,212.2,145.9,0,0,136672,0,0,0,0,0,0,155647,0,68354,0,0
France,392.2,313.2,23.9,22,131.2,85.6,614080,635552,655371,675213,590341,611179,633169,997470,764628,0,0,1108246,0,335782
Gabon,509.4,504.6,17.6,15.7,257.6,241.7,0,0,0,0,7925,0,0,0,0,0,0,0,0,0
Gambia,687.6,629.6,10.9,9,332.5,299.6,0,0,0,3231,960,1022,1059,4426,4661,0,0,0,0,0
Georgia,691.4,615.2,20.8,18.6,506.2,428.7,0,0,0,0,0,0,0,0,45680,45151,0,0,0,18872
Germany,461.8,365.1,20.1,18.5,221.5,142.7,0,0,0,1144171,0,0,0,0,0,0,0,0,435500,0
Ghana,639.9,669.9,12.2,10.1,362.2,340.6,0,0,0,0,32759,0,0,21260,32667,27007,24832,0,0,0
Greece,446.6,365,22.9,21.3,235.7,175.9,51106,62254,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,453.3,409.4,18.6,17.1,157,122.9,0,0,0,0,0,0,0,2376,0,25392,0,0,0,0
Guinea,708.8,681.1,6.8,5.8,319.1,313.4,5901,0,0,0,6911,6351,0,0,0,0,0,0,0,0
Guinea-Bissau,713.9,764.7,7.2,6.1,328.9,370.5,0,0,0,0,6112,0,0,0,1373,2940,0,0,0,0
Guyana,802.2,1024.2,22.9,20.5,395.9,544.8,2134,0,0,0,0,0,0,0,0,1711,882,0,0,0
Haiti,786.7,724.6,11.9,10.4,430.1,384.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,480.4,441.5,18.2,16.5,222.7,200.5,17652,0,0,0,0,14611,0,0,0,0,0,0,0,0
Hungary,734.2,602.8,24,22.5,387.3,293.3,0,0,37295,136111,38877,32563,35272,32202,36088,35196,33943,0,106391,0
Iceland,381.7,311.7,22.8,21.3,167.6,103.3,6479,6588,6213,5875,6891,7170,7232,7823,8482,8661,8467,5135,6888,0
India,740,682.3,4.9,4,337.6,306.3,1826027,1894603,654165,4411536,2823218,2915275,2051959,3078988,3237221,3972590,4079819,4450533,1635475,0
Indonesia,741.9,680.1,5.7,4.3,404.2,371,0,0,0,260487,0,0,0,0,0,275278,386215,0,536249,0
Iran (Islamic Republic of),719.6,569.3,26.1,23.9,471.1,350.2,0,0,0,0,323830,187000,0,0,0,0,0,40000,0,0
Iraq,657.8,715.5,23.8,21,409.3,420.7,0,0,0,0,0,0,0,0,0,0,30212,0,0,0
Ireland,503.3,343.9,25.6,23.1,228,118.7,0,0,0,0,78050,0,0,0,0,0,0,5303,0,12367
Israel,414.1,311.2,25.3,23.5,146.6,86,0,0,0,0,0,0,0,0,0,0,0,0,75200,0
Italy,400,303.6,21,19.6,168.8,105.5,0,0,0,378496,274000,0,0,0,0,0,0,0,229445,0
Jamaica,549.1,519.1,27.2,24.5,259.4,232.6,0,0,0,6839,0,0,0,0,6831,0,0,0,0,0
Japan,298.2,244.2,3.3,2.9,111.8,81.6,1937201,0,2021407,0,2102538,0,2188770,0,2294031,0,2406889,1495572,1452635,0
Jordan,715.1,640.3,30.5,28.1,401.3,326.4,32357,34395,35068,38367,69129,41631,44860,47133,46771,51587,56715,0,13840,0
Kazakhstan,1059.5,949.7,23.4,21.2,715.3,635.5,0,0,0,0,0,0,0,0,0,195382,201159,209671,214834,217444
Kenya,515.1,514.7,7,5.6,224.8,205,0,0,47569,0,35922,0,0,0,24530,26770,40802,47920,46301,49836
Kuwait,636.6,406.3,39.7,36.8,381.4,239,0,10592,0,0,0,0,21368,24286,26702,28366,0,0,0,0
Kyrgyzstan,945.9,835.4,14.4,13,612.9,549.4,0,0,0,0,0,0,0,0,42086,42446,43052,44709,0,46373
Lao People's Democratic Republic,795.9,680,3.5,2.5,402.1,346.2,8676,0,0,0,11400,8885,0,0,0,8306,0,0,11357,0
Latvia,697,623.7,23.7,22.2,444.3,361.1,22084,21334,21468,21581,21928,22258,22169,21805,22399,20704,20444,19850,19430,0
Lebanon,597.8,384.6,31.9,28.4,362.3,213.8,0,23304,0,0,6260,11063,15818,26984,0,31019,31277,38163,0,0
Lesotho,693.9,671.8,14.2,12.8,326.1,306.7,0,0,0,1526,0,0,0,0,0,0,0,0,0,0
Liberia,774.5,656.9,6.6,5.4,278.7,248.4,0,0,0,0,2236,0,0,0,1652,0,0,0,0,0
Libya,705.2,550,33.1,30,433.2,320.4,0,0,0,0,36210,0,0,0,48931,61058,0,0,0,0
Lithuania,621.6,580.6,25.9,23.8,373.9,322.5,0,0,0,0,0,0,0,0,0,0,14682,0,15992,0
Luxembourg,432.6,317.8,23.1,20.8,186.2,107.9,0,0,0,323,0,0,0,0,0,0,0,0,0,8693
Madagascar,766.9,648.6,5.4,4.5,420,352.3,0,0,0,0,12664,0,0,7064,0,0,0,0,0,0
Malawi,675.4,655,5.3,4.2,354.3,336.5,0,0,0,0,8309,0,0,0,17503,8369,0,0,0,0
Malaysia,685.3,563.2,13.3,10.5,377.4,295.8,59463,0,65440,0,0,0,0,12519,101589,0,182214,12402,0,0
Maldives,813.6,487.2,7.9,6.7,389.3,244.3,0,0,0,0,2544,0,0,3474,0,3591,3827,0,0,0
Mali,952.5,866.1,6.8,5.7,423.6,395.7,0,0,0,0,10766,0,0,7072,7030,12899,14023,0,0,0
Malta,457.5,364.5,26.6,24.7,232.9,151.8,0,0,0,0,0,0,0,0,0,4683,4926,5131,5357,8552
Mauritania,569.8,555.1,9.7,8.2,267.5,262.6,0,0,0,0,2934,0,0,0,0,4471,0,0,0,0
Mauritius,715.7,576.5,17.9,15,327.1,207.3,0,0,0,0,8511,0,0,0,0,0,0,0,0,0
Mexico,487.5,468.3,28.1,25.9,156.1,148.3,648388,0,0,0,949565,187144,201882,206945,213322,497342,513955,544293,0,0
Mongolia,1188.2,966.5,16.7,14.4,680.7,586.7,0,0,24220,0,0,0,0,0,20028,19988,20768,20022,0,0
Montenegro,598.5,571.5,20,18.7,370.1,366.7,0,0,0,0,0,0,0,0,0,5041,4795,4686,4715,4896
Morocco,753.1,707.7,22.3,20.2,373.7,330.5,0,0,0,0,54106,0,0,18269,0,62045,0,0,0,0
Mozambique,694,593.7,5.3,4.4,262.7,213.5,0,0,0,0,10638,0,10904,0,11821,0,12003,12950,13859,0
Myanmar,682.7,708.7,2.9,2.1,305.7,317.8,0,0,0,0,124261,64364,68903,71871,75714,84323,88975,92481,94836,0
Namibia,671.7,580.2,18.9,16.8,340.9,302.9,0,0,0,0,8462,0,0,7697,0,0,0,0,0,0
Nepal,786.1,678.1,3.3,2.7,296.1,270.6,0,0,0,0,39405,0,0,0,0,0,0,0,4200,0
Netherlands,459.2,355.2,19.8,18,182,104.8,0,0,0,61747,0,0,0,0,138200,0,0,6138,0,0
New Zealand,428.3,313.6,29.2,26.5,181.7,103.8,30840,100053,9810,0,0,0,0,59014,10495,11106,11412,4440,0,0
Nicaragua,474.6,546.6,17.1,15.7,209.8,227.8,0,0,0,8150,0,21728,22083,22986,26325,26570,26543,29719,30539,31124
Niger,637,649.1,4.3,3.7,295.4,317.7,0,0,0,0,4196,0,0,0,2901,0,0,0,0,0
Nigeria,714.3,673.7,11,8.9,277.6,266.5,0,0,0,247711,124015,291775,278693,349080,352476,69107,0,17022,0,0
Norway,422,336.6,23.1,21.6,185.8,111.5,0,0,0,1675,0,0,0,0,0,182742,0,0,114606,0
Oman,607.5,478.2,30.9,28.4,379.4,244.9,16998,0,0,0,18733,21461,18529,24605,30664,23266,24911,27333,38685,0
Pakistan,620,669.3,5.4,4.7,250.6,274.2,161494,169269,0,0,232958,173730,0,190510,243920,255646,267316,0,0,0
Panama,420.2,372.9,26.8,23.7,172.1,151.3,20523,10297,11135,12224,11753,12101,12322,9532,10105,10035,15233,15244,12395,12263
Papua New Guinea,727.5,693.2,27.9,26.2,162.5,148.5,3206,0,0,0,0,0,0,0,9367,121,8899,0,354,0
Paraguay,494.4,485.5,16.3,14.5,235.2,219.7,0,0,30632,0,0,0,0,0,0,0,0,0,29803,0
Peru,453.4,363.5,21.1,18.5,151.2,122.6,0,0,0,0,0,0,0,0,0,93649,0,0,107673,0
Philippines,570.7,720,5.1,4.1,303.4,376.9,307679,0,660860,0,677866,0,0,0,0,0,0,84000,0,0
Poland,622.4,494.5,25.2,23.1,349.7,253.4,0,0,0,321018,0,0,0,0,0,0,363312,0,360365,0
Portugal,480.8,343.3,20.1,18.4,228.1,113.1,0,0,87646,91329,94775,98843,103635,107729,112403,117648,121731,126527,127690,8133
Qatar,485.4,407,42.3,38.1,216.7,157,0,4977,0,0,0,8820,10860,0,13038,12721,17534,0,0,0
Republic of Korea,503.4,302.1,5.8,4.2,183.9,92.3,50623,0,0,158378,639608,671319,701961,735947,771172,806069,404027,416722,427439,0
